channel,month,sales_mxn,prev_sales_mxn,mom_growth_pct,growth_note
fisico,2025-04-01,1532102.35,1598907.0,-4.18,ok
fisico,2025-05-01,1639657.5,1532102.35,7.02,ok
fisico,2025-06-01,1577691.0,1639657.5,-3.78,ok
fisico,2025-07-01,1644239.29,1577691.0,4.22,ok
fisico,2025-08-01,1642587.46,1644239.29,-0.1,ok
fisico,2025-09-01,1563129.38,1642587.46,-4.84,ok
fisico,2025-10-01,1648071.37,1563129.38,5.43,ok
fisico,2025-11-01,1544897.09,1648071.37,-6.26,ok
fisico,2025-12-01,1648254.78,1544897.09,6.69,ok
fisico,2026-01-01,1553376.66,1648254.78,-5.76,ok
fisico,2026-02-01,1434264.57,1553376.66,-7.67,ok
fisico,2026-03-01,1543956.27,1434264.57,7.65,ok
ecommerce,2025-04-01,383213.08,,,sin_cobertura_mes_anterior
ecommerce,2025-05-01,365088.2,383213.08,-4.73,ok
ecommerce,2025-06-01,339352.27,365088.2,-7.05,ok
ecommerce,2025-07-01,350578.49,339352.27,3.31,ok
ecommerce,2025-08-01,343799.79,350578.49,-1.93,ok
ecommerce,2025-09-01,345453.79,343799.79,0.48,ok
ecommerce,2025-10-01,376497.18,345453.79,8.99,ok
ecommerce,2025-11-01,359337.61,376497.18,-4.56,ok
ecommerce,2025-12-01,346649.16,359337.61,-3.53,ok
ecommerce,2026-01-01,344899.14,346649.16,-0.5,ok
ecommerce,2026-02-01,323250.56,344899.14,-6.28,ok
ecommerce,2026-03-01,350763.45,323250.56,8.51,ok
total,2025-09-01,1908583.17,1986387.25,-3.92,ok
total,2025-12-01,1994903.94,1904234.7,4.76,ok
total,2026-02-01,1757515.13,1898275.8,-7.42,ok
total,2025-05-01,2004745.7,1915315.43,4.67,ok
total,2025-11-01,1904234.7,2024568.55,-5.94,ok
total,2025-07-01,1994817.78,1917043.27,4.06,ok
total,2025-10-01,2024568.55,1908583.17,6.08,ok
total,2025-06-01,1917043.27,2004745.7,-4.37,ok
total,2025-08-01,1986387.25,1994817.78,-0.42,ok
total,2026-01-01,1898275.8,1994903.94,-4.84,ok
total,2025-04-01,1915315.43,,,algun_canal_sin_cobertura
total,2026-03-01,1894719.72,1757515.13,7.81,ok
