variant,channel,month,sales_mxn,prev_sales_mxn,mom_growth_pct,growth_note
principal,fisico,2025-04-01,1532102.35,1598907.0,-4.18,ok
principal,fisico,2025-05-01,1639657.5,1532102.35,7.02,ok
principal,fisico,2025-06-01,1577691.0,1639657.5,-3.78,ok
principal,fisico,2025-07-01,1644239.29,1577691.0,4.22,ok
principal,fisico,2025-08-01,1642587.46,1644239.29,-0.1,ok
principal,fisico,2025-09-01,1563129.38,1642587.46,-4.84,ok
principal,fisico,2025-10-01,1648071.37,1563129.38,5.43,ok
principal,fisico,2025-11-01,1544897.09,1648071.37,-6.26,ok
principal,fisico,2025-12-01,1648254.78,1544897.09,6.69,ok
principal,fisico,2026-01-01,1553376.66,1648254.78,-5.76,ok
principal,fisico,2026-02-01,1434264.57,1553376.66,-7.67,ok
principal,fisico,2026-03-01,1543956.27,1434264.57,7.65,ok
ecommerce_timestamp_utc,ecommerce,2025-04-01,382890.98,,,sin_cobertura_mes_anterior
ecommerce_timestamp_utc,ecommerce,2025-05-01,365474.55,382890.98,-4.55,ok
ecommerce_timestamp_utc,ecommerce,2025-06-01,338571.41,365474.55,-7.36,ok
ecommerce_timestamp_utc,ecommerce,2025-07-01,350578.49,338571.41,3.55,ok
ecommerce_timestamp_utc,ecommerce,2025-08-01,343799.79,350578.49,-1.93,ok
ecommerce_timestamp_utc,ecommerce,2025-09-01,345615.69,343799.79,0.53,ok
ecommerce_timestamp_utc,ecommerce,2025-10-01,376335.28,345615.69,8.89,ok
ecommerce_timestamp_utc,ecommerce,2025-11-01,359867.14,376335.28,-4.38,ok
ecommerce_timestamp_utc,ecommerce,2025-12-01,346119.63,359867.14,-3.82,ok
ecommerce_timestamp_utc,ecommerce,2026-01-01,345272.49,346119.63,-0.24,ok
ecommerce_timestamp_utc,ecommerce,2026-02-01,324478.93,345272.49,-6.02,ok
ecommerce_timestamp_utc,ecommerce,2026-03-01,349161.73,324478.93,7.61,ok
fisico_solo_ingresos,fisico,2025-04-01,1594506.88,1649055.66,-3.31,ok
fisico_solo_ingresos,fisico,2025-05-01,1708351.71,1594506.88,7.14,ok
fisico_solo_ingresos,fisico,2025-06-01,1639309.1,1708351.71,-4.04,ok
fisico_solo_ingresos,fisico,2025-07-01,1704654.4,1639309.1,3.99,ok
fisico_solo_ingresos,fisico,2025-08-01,1703266.74,1704654.4,-0.08,ok
fisico_solo_ingresos,fisico,2025-09-01,1611576.62,1703266.74,-5.38,ok
fisico_solo_ingresos,fisico,2025-10-01,1723372.26,1611576.62,6.94,ok
fisico_solo_ingresos,fisico,2025-11-01,1607278.43,1723372.26,-6.74,ok
fisico_solo_ingresos,fisico,2025-12-01,1705453.24,1607278.43,6.11,ok
fisico_solo_ingresos,fisico,2026-01-01,1620102.45,1705453.24,-5.0,ok
fisico_solo_ingresos,fisico,2026-02-01,1497393.29,1620102.45,-7.57,ok
fisico_solo_ingresos,fisico,2026-03-01,1625189.54,1497393.29,8.53,ok
principal,ecommerce,2025-04-01,383213.08,,,sin_cobertura_mes_anterior
principal,ecommerce,2025-05-01,365088.2,383213.08,-4.73,ok
principal,ecommerce,2025-06-01,339352.27,365088.2,-7.05,ok
principal,ecommerce,2025-07-01,350578.49,339352.27,3.31,ok
principal,ecommerce,2025-08-01,343799.79,350578.49,-1.93,ok
principal,ecommerce,2025-09-01,345453.79,343799.79,0.48,ok
principal,ecommerce,2025-10-01,376497.18,345453.79,8.99,ok
principal,ecommerce,2025-11-01,359337.61,376497.18,-4.56,ok
principal,ecommerce,2025-12-01,346649.16,359337.61,-3.53,ok
principal,ecommerce,2026-01-01,344899.14,346649.16,-0.5,ok
principal,ecommerce,2026-02-01,323250.56,344899.14,-6.28,ok
principal,ecommerce,2026-03-01,350763.45,323250.56,8.51,ok
fisico_todos_los_tipos,fisico,2025-04-01,1673072.4,1713847.43,-2.38,ok
fisico_todos_los_tipos,fisico,2025-05-01,1796952.89,1673072.4,7.4,ok
fisico_todos_los_tipos,fisico,2025-06-01,1712534.81,1796952.89,-4.7,ok
fisico_todos_los_tipos,fisico,2025-07-01,1790211.82,1712534.81,4.54,ok
fisico_todos_los_tipos,fisico,2025-08-01,1778833.54,1790211.82,-0.64,ok
fisico_todos_los_tipos,fisico,2025-09-01,1684031.43,1778833.54,-5.33,ok
fisico_todos_los_tipos,fisico,2025-10-01,1817581.95,1684031.43,7.93,ok
fisico_todos_los_tipos,fisico,2025-11-01,1680698.65,1817581.95,-7.53,ok
fisico_todos_los_tipos,fisico,2025-12-01,1778997.58,1680698.65,5.85,ok
fisico_todos_los_tipos,fisico,2026-01-01,1713209.72,1778997.58,-3.7,ok
fisico_todos_los_tipos,fisico,2026-02-01,1576721.7,1713209.72,-7.97,ok
fisico_todos_los_tipos,fisico,2026-03-01,1718189.01,1576721.7,8.97,ok
