sku_num,sku_pos,sku_erp,product_name,pos_erp_link_source,store_id,channel,units_net,revenue_mxn,cost_mxn,margin_mxn,margin_pct,margin_mxn_if_price_includes_iva,sale_lines_below_cost,sale_lines
55,CN-00055,ERP-PROV-MX-055-C,Termo Mercancia,explicito,T022,fisico,48.0,30322.96,13978.35,16344.61,53.9,12162.13,0,35
38,CN-00038,ERP-PROV-MX-038-A,Selección Cafe Grano,explicito,T004,fisico,57.0,19187.44,13475.36,5712.08,29.77,3065.54,0,31
10,CN-00010,ERP-PROV-MX-010-D,Descafeinado Cafe Grano,explicito,T030,fisico,36.0,12798.87,6383.96,6414.91,50.12,4649.55,0,33
35,CN-00035,ERP-PROV-MX-035-A,Sándwich Comida Caliente,explicito,T026,fisico,39.0,5434.9,3637.11,1797.79,33.08,1048.15,0,25
36,CN-00036,ERP-PROV-MX-036-A,Gourmet Cafe Grano,inferido,T026,fisico,34.0,10672.27,6417.47,4254.8,39.87,2782.76,0,29
60,CN-00060,ERP-PROV-MX-060-A,Espresso Cafe Grano,explicito,T004,fisico,49.0,9624.23,6212.41,3411.82,35.45,2084.34,0,31
1,CN-00001,ERP-PROV-MX-001-A,Sándwich Comida Caliente,inferido,T017,fisico,59.0,4401.95,4964.65,-562.7,-12.78,-1169.87,35,35
23,CN-00023,ERP-PROV-MX-023-B,Ensalada Comida Caliente,explicito,T038,fisico,44.0,6835.04,3485.94,3349.1,49.0,2406.34,0,30
63,CN-00063,ERP-PROV-MX-063-C,Gourmet Cafe Molido,explicito,T032,fisico,54.0,4538.99,2910.58,1628.41,35.88,1002.34,0,34
35,CN-00035,ERP-PROV-MX-035-A,Sándwich Comida Caliente,explicito,T009,fisico,28.0,3939.53,2677.79,1261.74,32.03,718.36,0,24
22,CN-00022,ERP-PROV-MX-022-A,Ensalada Comida Caliente,explicito,T032,fisico,33.0,5597.47,3172.15,2425.32,43.33,1653.26,0,27
29,CN-00029,ERP-PROV-MX-029-C,Termo Mercancia,explicito,T037,fisico,57.0,35169.32,17401.83,17767.49,50.52,12916.55,0,34
