sku_num,sku_pos,product_name,pos_erp_link_source,store_id,city,units_net,revenue_mxn,cost_mxn,margin_mxn,margin_pct,sale_lines_below_cost,sale_lines
1,CN-00001,Sándwich Comida Caliente,inferido,T017,Guadalajara,59.0,4401.95,4964.65,-562.7,-12.78,35,35
1,CN-00001,Sándwich Comida Caliente,inferido,T016,CDMX,47.0,3504.41,3956.65,-452.24,-12.9,36,36
2,CN-00002,Sándwich Comida Caliente,explicito,T039,Hermosillo,34.0,4514.28,5753.95,-1239.67,-27.46,29,29
15,CN-00015,Especial Cafe Molido,explicito,T029,Nuevo Laredo,58.0,21022.03,27587.08,-6565.05,-31.23,31,31
15,CN-00015,Especial Cafe Molido,explicito,T032,Guadalajara,58.0,21245.09,27375.6,-6130.51,-28.86,35,35
1,CN-00001,Sándwich Comida Caliente,inferido,T008,Cancún,33.0,2480.98,2780.65,-299.67,-12.08,25,25
15,CN-00015,Especial Cafe Molido,explicito,T035,Querétaro,49.0,17532.2,23124.66,-5592.46,-31.9,31,31
1,CN-00001,Sándwich Comida Caliente,inferido,T014,Nuevo Laredo,38.0,2837.17,3192.0,-354.83,-12.51,28,28
2,CN-00002,Sándwich Comida Caliente,explicito,T035,Querétaro,40.0,5300.31,6755.93,-1455.62,-27.46,31,31
1,CN-00001,Sándwich Comida Caliente,inferido,T030,Reynosa,30.0,2255.93,2518.23,-262.3,-11.63,21,21
15,CN-00015,Especial Cafe Molido,explicito,T022,Mérida,52.0,18931.03,24658.5,-5727.47,-30.25,38,38
2,CN-00002,Sándwich Comida Caliente,explicito,T010,Chihuahua,30.0,3946.29,5038.5,-1092.21,-27.68,21,21
2,CN-00002,Sándwich Comida Caliente,explicito,T033,Monterrey,39.0,5214.76,6598.03,-1383.27,-26.53,30,30
15,CN-00015,Especial Cafe Molido,explicito,T019,Puebla,59.0,21370.63,27897.62,-6526.99,-30.54,41,41
15,CN-00015,Especial Cafe Molido,explicito,T006,León,47.0,16907.04,22265.38,-5358.34,-31.69,34,34
2,CN-00002,Sándwich Comida Caliente,explicito,T013,Ciudad Juárez,82.0,10791.28,13812.43,-3021.15,-28.0,40,40
15,CN-00015,Especial Cafe Molido,explicito,T009,Hermosillo,30.0,10881.48,14239.94,-3358.46,-30.86,25,25
